PlayerName,OVR,Position,PositionGroup,Tier,Nationality,Club,Photo,Age,Potential,ValueEUR,WageEUR,Pace,Shooting,Passing,Dribbling,Defending,Physic,PreferredFoot,WeakFoot,SkillMoves,WorkRate
M. Neuer,92,GK,GK,Tier 1 (World Class),Germany,FC Bayern München,https://cdn.sofifa.net/players/167/495/24_120.png,31,92,61000000,225000,,,,,,,Right,4,1,Medium/Medium
J. Oblak,91,GK,GK,Tier 1 (World Class),Slovenia,Atlético Madrid,https://cdn.sofifa.net/players/200/389/24_120.png,28,93,112000000,130000,,,,,,,Right,3,1,Medium/Medium
M. ter Stegen,90,GK,GK,Tier 1 (World Class),Germany,FC Barcelona,https://cdn.sofifa.net/players/192/448/24_120.png,29,92,99000000,250000,,,,,,,Right,4,1,Medium/Medium
T. Courtois,90,GK,GK,Tier 1 (World Class),Belgium,Real Madrid,https://cdn.sofifa.net/players/192/119/24_120.png,31,90,63000000,250000,,,,,,,Left,3,1,Medium/Medium
G. Donnarumma,89,GK,GK,Tier 2 (Elite),Italy,Paris Saint Germain,https://cdn.sofifa.net/players/230/621/24_120.png,22,93,119500000,110000,,,,,,,Right,3,1,Medium/Medium
Ederson,89,GK,GK,Tier 2 (Elite),Brazil,Manchester City,https://cdn.sofifa.net/players/210/257/24_120.png,28,91,88000000,210000,,,,,,,Left,3,1,Medium/Medium
G. Buffon,89,GK,GK,Tier 2 (Elite),Italy,Juventus,https://cdn.sofifa.net/players/001/179/24_120.png,39,89,4500000,110000,,,,,,,Right,2,1,Medium/Medium
H. Lloris,88,GK,GK,Tier 2 (Elite),France,Tottenham Hotspur,https://cdn.sofifa.net/players/167/948/24_120.png,32,88,36000000,150000,,,,,,,Left,1,1,Medium/Medium
K. Navas,88,GK,GK,Tier 2 (Elite),Costa Rica,Paris Saint Germain,https://cdn.sofifa.net/players/193/041/24_120.png,35,88,10000000,85000,,,,,,,Right,3,1,Medium/Medium
G. Kobel,87,GK,GK,Tier 2 (Elite),Switzerland,Borussia Dortmund,https://cdn.sofifa.net/players/235/073/24_120.png,25,90,81500000,64000,,,,,,,Right,3,1,Medium/Medium
Sergio Ramos,91,CB,DEF,Tier 1 (World Class),Spain,Real Madrid,https://cdn.sofifa.net/players/155/862/24_120.png,32,91,51000000,375000,75,63,71,71,91,84,Right,3,3,High/Medium
M. Hummels,89,CB,DEF,Tier 2 (Elite),Germany,FC Bayern München,https://cdn.sofifa.net/players/178/603/24_120.png,29,89,51500000,170000,65,58,76,72,90,76,Right,3,3,High/Medium
G. Chiellini,89,CB,DEF,Tier 2 (Elite),Italy,Juventus,https://cdn.sofifa.net/players/138/956/24_120.png,34,89,24500000,210000,68,46,58,60,90,82,Left,3,2,Medium/High
A. Laporte,87,CB,DEF,Tier 2 (Elite),France,Manchester City,https://cdn.sofifa.net/players/212/218/24_120.png,26,90,92500000,200000,63,50,72,68,88,81,Left,3,2,Medium/Medium
A. Rüdiger,87,CB,DEF,Tier 2 (Elite),Germany,Real Madrid,https://cdn.sofifa.net/players/205/452/24_120.png,29,88,73500000,250000,82,53,71,67,86,85,Right,3,2,High/High
A. Robertson,87,LB,DEF,Tier 2 (Elite),Scotland,Liverpool,https://cdn.sofifa.net/players/216/267/24_120.png,28,87,72000000,185000,80,61,81,81,82,76,Left,2,3,High/High
S. Umtiti,87,CB,DEF,Tier 2 (Elite),France,FC Barcelona,https://cdn.sofifa.net/players/205/600/24_120.png,24,92,57000000,200000,72,64,71,72,88,82,Left,3,2,Medium/High
T. Alderweireld,87,CB,DEF,Tier 2 (Elite),Belgium,Tottenham Hotspur,https://cdn.sofifa.net/players/184/087/24_120.png,30,87,41000000,155000,64,55,72,66,88,79,Right,3,2,Medium/Medium
Jordi Alba,87,LB,DEF,Tier 2 (Elite),Spain,FC Barcelona,https://cdn.sofifa.net/players/189/332/24_120.png,30,87,40000000,240000,90,69,81,83,79,73,Left,3,3,High/Medium
R. Araujo,86,"CB, RB",DEF,Tier 3 (Top Tier),Uruguay,FC Barcelona,https://cdn.sofifa.net/players/253/163/24_120.png,24,91,93000000,175000,79,51,65,62,86,84,Right,3,2,Medium/High
M. de Ligt,86,CB,DEF,Tier 3 (Top Tier),Netherlands,FC Bayern München,https://cdn.sofifa.net/players/235/243/24_120.png,23,89,83000000,84000,66,61,64,68,85,86,Right,3,2,Medium/High
Éder Militão,86,CB,DEF,Tier 3 (Top Tier),Brazil,Real Madrid,https://cdn.sofifa.net/players/240/130/24_120.png,25,89,80000000,210000,85,50,69,71,86,82,Right,3,2,Medium/High
R. Varane,86,CB,DEF,Tier 3 (Top Tier),France,Manchester United,https://cdn.sofifa.net/players/201/535/24_120.png,28,88,68500000,180000,82,49,64,65,87,82,Right,3,2,Medium/High
M. Škriniar,86,CB,DEF,Tier 3 (Top Tier),Slovakia,Inter,https://cdn.sofifa.net/players/232/363/24_120.png,27,87,68500000,105000,78,41,57,69,88,86,Right,3,2,Low/High
T. Hernández,85,"LB, LM",DEF,Tier 3 (Top Tier),France,Milan,https://cdn.sofifa.net/players/232/656/24_120.png,25,90,73500000,90000,93,71,76,81,78,84,Left,3,3,High/Medium
A. Bastoni,85,CB,DEF,Tier 3 (Top Tier),Italy,Inter,https://cdn.sofifa.net/players/237/383/24_120.png,24,90,73500000,95000,73,35,72,73,86,83,Left,3,2,Medium/High
A. Hakimi,85,"RB, RWB",DEF,Tier 3 (Top Tier),Morocco,Paris Saint Germain,https://cdn.sofifa.net/players/235/212/24_120.png,22,88,69500000,100000,95,71,78,83,76,78,Right,4,3,High/Medium
N. Süle,85,"CB, RB",DEF,Tier 3 (Top Tier),Germany,Borussia Dortmund,https://cdn.sofifa.net/players/212/190/24_120.png,26,87,59000000,72000,71,48,66,59,85,83,Right,3,3,Medium/Medium
J. Giménez,85,CB,DEF,Tier 3 (Top Tier),Uruguay,Atlético Madrid,https://cdn.sofifa.net/players/216/460/24_120.png,24,89,45000000,69000,69,45,52,54,86,82,Right,3,2,Medium/High
S. de Vrij,85,CB,DEF,Tier 3 (Top Tier),Netherlands,Inter,https://cdn.sofifa.net/players/198/176/24_120.png,29,85,45000000,145000,72,41,64,70,87,79,Right,3,2,Medium/High
M. Acuña,85,"LB, LM",DEF,Tier 3 (Top Tier),Argentina,Sevilla,https://cdn.sofifa.net/players/224/334/24_120.png,31,85,39000000,46000,75,74,83,83,81,84,Left,3,3,High/High
L. Modrić,91,"CM, CDM",MID,Tier 1 (World Class),Croatia,Real Madrid,https://cdn.sofifa.net/players/177/003/24_120.png,32,91,67000000,425000,76,76,90,91,70,67,Right,4,4,High/High
T. Kroos,90,"CM, CDM",MID,Tier 1 (World Class),Germany,Real Madrid,https://cdn.sofifa.net/players/182/521/24_120.png,28,90,76500000,350000,67,82,89,82,74,69,Right,5,3,Medium/Medium
P. Dybala,89,"CAM, ST, CF",MID,Tier 2 (Elite),Argentina,Juventus,https://cdn.sofifa.net/players/211/110/24_120.png,24,94,89000000,200000,85,85,84,91,28,66,Left,3,4,High/Medium
Iniesta,89,"CM, LW",MID,Tier 2 (Elite),Spain,FC Barcelona,https://cdn.sofifa.net/players/000/041/24_120.png,30,89,36000000,250000,75,72,89,91,59,63,Right,4,4,High/Medium
F. Valverde,88,"CM, RW",MID,Tier 2 (Elite),Uruguay,Real Madrid,https://cdn.sofifa.net/players/239/053/24_120.png,24,92,130500000,270000,88,82,84,84,80,82,Right,4,3,High/High
Bernardo Silva,88,"CM, RW",MID,Tier 2 (Elite),Portugal,Manchester City,https://cdn.sofifa.net/players/218/667/24_120.png,28,88,91500000,270000,69,78,86,92,70,69,Left,3,4,High/High
M. Ødegaard,87,"CAM, CM",MID,Tier 2 (Elite),Norway,Arsenal,https://cdn.sofifa.net/players/222/665/24_120.png,24,90,109000000,170000,72,81,88,87,61,64,Left,2,5,High/Medium
T. Müller,87,"CAM, CF",MID,Tier 2 (Elite),Germany,FC Bayern München,https://cdn.sofifa.net/players/189/596/24_120.png,32,87,63000000,115000,69,84,83,80,56,71,Right,4,3,High/High
J. Musiala,86,"CAM, CM, LM",MID,Tier 3 (Top Tier),Germany,FC Bayern München,https://cdn.sofifa.net/players/256/790/24_120.png,20,93,134500000,79000,85,75,76,91,63,61,Right,4,5,Medium/Medium
Pedri,86,CM,MID,Tier 3 (Top Tier),Spain,FC Barcelona,https://cdn.sofifa.net/players/251/854/24_120.png,20,92,105000000,165000,78,69,82,88,70,74,Right,4,4,High/High
J. Bellingham,86,"CM, CAM",MID,Tier 3 (Top Tier),England,Real Madrid,https://cdn.sofifa.net/players/252/371/24_120.png,20,91,100500000,175000,76,78,80,85,78,82,Right,4,4,High/High
Marcos Llorente,86,"CM, RM, ST",MID,Tier 3 (Top Tier),Spain,Atlético Madrid,https://cdn.sofifa.net/players/226/161/24_120.png,26,89,88000000,95000,88,80,81,82,78,82,Right,4,3,High/Medium
S. Tonali,86,"CDM, CM",MID,Tier 3 (Top Tier),Italy,Newcastle United,https://cdn.sofifa.net/players/241/096/24_120.png,23,89,84000000,140000,84,74,81,81,82,84,Right,4,3,Medium/High
N. Barella,86,CM,MID,Tier 3 (Top Tier),Italy,Inter,https://cdn.sofifa.net/players/224/232/24_120.png,26,88,83500000,135000,78,78,82,85,78,80,Right,3,3,High/High
K. Coman,86,LM,MID,Tier 3 (Top Tier),France,FC Bayern München,https://cdn.sofifa.net/players/213/345/24_120.png,26,87,80000000,105000,92,77,79,87,30,61,Right,3,5,Medium/Medium
İ. Gündoğan,86,"CM, CDM",MID,Tier 3 (Top Tier),Germany,FC Barcelona,https://cdn.sofifa.net/players/186/942/24_120.png,32,86,53500000,220000,62,81,84,86,72,73,Right,4,4,High/Medium
M. Pjanić,86,"CM, CDM",MID,Tier 3 (Top Tier),Bosnia and Herzegovina,Juventus,https://cdn.sofifa.net/players/180/206/24_120.png,29,86,42500000,180000,68,68,87,85,75,67,Right,4,3,Medium/Medium
B. Matuidi,86,"CDM, CM",MID,Tier 3 (Top Tier),France,Paris Saint Germain,https://cdn.sofifa.net/players/170/890/24_120.png,29,86,29500000,140000,79,67,78,76,83,84,Left,2,2,High/High
K. Havertz,85,"CAM, RM, CF",MID,Tier 3 (Top Tier),Germany,Chelsea,https://cdn.sofifa.net/players/235/790/24_120.png,21,93,121000000,105000,84,81,79,85,45,67,Left,4,4,Medium/Medium
D. Rice,85,"CDM, CM",MID,Tier 3 (Top Tier),England,Arsenal,https://cdn.sofifa.net/players/234/378/24_120.png,24,87,63000000,130000,71,65,75,77,83,83,Right,3,2,Medium/High
H. Ziyech,85,"CAM, RW",MID,Tier 3 (Top Tier),Morocco,Chelsea,https://cdn.sofifa.net/players/208/670/24_120.png,27,86,62000000,140000,80,76,87,84,50,66,Left,2,5,High/High
Cristiano Ronaldo,94,"ST, LW",ATT,Tier 1 (World Class),Portugal,Juventus,https://cdn.sofifa.net/players/020/801/24_120.png,33,94,77000000,400000,90,93,81,89,35,79,Right,4,5,High/Low
R. Lewandowski,92,ST,ATT,Tier 1 (World Class),Poland,FC Bayern München,https://cdn.sofifa.net/players/188/545/24_120.png,32,92,119500000,270000,78,92,79,86,44,82,Right,4,4,High/Medium
E. Hazard,91,"LW, CF",ATT,Tier 1 (World Class),Belgium,Real Madrid,https://cdn.sofifa.net/players/183/277/24_120.png,28,91,90000000,470000,91,83,86,94,35,66,Right,4,4,High/Medium
K. Benzema,91,"CF, ST",ATT,Tier 1 (World Class),France,Real Madrid,https://cdn.sofifa.net/players/165/153/24_120.png,34,91,64000000,450000,80,88,83,87,39,78,Right,4,4,Medium/Medium
S. Mané,90,LW,ATT,Tier 1 (World Class),Senegal,Liverpool,https://cdn.sofifa.net/players/208/722/24_120.png,28,90,120500000,250000,94,85,80,90,44,76,Right,4,4,High/Medium
H. Son,89,"LW, LM",ATT,Tier 2 (Elite),Korea Republic,Tottenham Hotspur,https://cdn.sofifa.net/players/200/104/24_120.png,29,89,101000000,240000,88,89,82,86,42,69,Right,5,4,High/Medium
S. Agüero,89,ST,ATT,Tier 2 (Elite),Argentina,Manchester City,https://cdn.sofifa.net/players/153/079/24_120.png,32,89,83500000,300000,78,90,77,88,33,73,Right,4,4,High/Medium
E. Cavani,89,ST,ATT,Tier 2 (Elite),Uruguay,Paris Saint Germain,https://cdn.sofifa.net/players/179/813/24_120.png,31,89,60000000,200000,76,87,72,80,52,83,Right,3,3,High/High
V. Osimhen,88,ST,ATT,Tier 2 (Elite),Nigeria,Napoli,https://cdn.sofifa.net/players/232/293/24_120.png,24,91,126500000,120000,90,86,66,83,42,82,Right,4,3,High/Medium
L. Martínez,87,ST,ATT,Tier 2 (Elite),Argentina,Inter,https://cdn.sofifa.net/players/231/478/24_120.png,25,90,107000000,150000,80,86,71,85,48,85,Right,4,4,High/Medium
Roberto Firmino,87,CF,ATT,Tier 2 (Elite),Brazil,Liverpool,https://cdn.sofifa.net/players/201/942/24_120.png,28,87,81500000,190000,77,80,81,90,61,78,Right,4,5,High/High
M. Icardi,87,ST,ATT,Tier 2 (Elite),Argentina,Inter,https://cdn.sofifa.net/players/201/399/24_120.png,25,90,64500000,130000,78,85,61,79,36,72,Right,4,3,Medium/Low
Á. Di María,87,"RW, LW",ATT,Tier 2 (Elite),Argentina,Paris Saint Germain,https://cdn.sofifa.net/players/183/898/24_120.png,33,87,49500000,160000,83,81,86,87,48,69,Left,2,5,High/Medium
K. Kvaratskhelia,86,"LW, RW",ATT,Tier 3 (Top Tier),Georgia,Napoli,https://cdn.sofifa.net/players/247/635/24_120.png,22,92,109000000,95000,84,80,81,87,41,71,Right,5,5,Medium/Medium
Rafael Leão,86,"LW, CF, ST",ATT,Tier 3 (Top Tier),Portugal,Milan,https://cdn.sofifa.net/players/241/721/24_120.png,24,91,102500000,110000,93,80,75,87,27,76,Right,4,4,Medium/Low
B. Saka,86,"RW, RM",ATT,Tier 3 (Top Tier),England,Arsenal,https://cdn.sofifa.net/players/246/669/24_120.png,21,90,99000000,150000,85,81,79,87,60,70,Left,3,3,High/Medium
C. Nkunku,86,"CF, CAM, ST",ATT,Tier 3 (Top Tier),France,Chelsea,https://cdn.sofifa.net/players/232/411/24_120.png,25,88,86500000,185000,82,81,83,88,62,67,Right,3,5,Medium/Medium
O. Dembélé,86,"RW, LW",ATT,Tier 3 (Top Tier),France,Paris Saint Germain,https://cdn.sofifa.net/players/231/443/24_120.png,26,87,80000000,150000,93,77,81,87,36,57,Left,5,5,High/Medium
Gerard Moreno,86,"ST, RM, RW",ATT,Tier 3 (Top Tier),Spain,Villarreal,https://cdn.sofifa.net/players/208/093/24_120.png,29,86,68000000,73000,79,86,77,84,46,73,Left,4,3,High/Medium
Diego Costa,86,ST,ATT,Tier 3 (Top Tier),Spain,Chelsea,https://cdn.sofifa.net/players/179/844/24_120.png,28,86,46000000,225000,75,83,65,76,40,88,Right,4,3,High/Medium
A. Lacazette,86,ST,ATT,Tier 3 (Top Tier),France,Arsenal,https://cdn.sofifa.net/players/193/301/24_120.png,28,86,46000000,165000,82,85,75,86,40,74,Right,4,4,High/High
P. Foden,85,"LW, RW",ATT,Tier 3 (Top Tier),England,Manchester City,https://cdn.sofifa.net/players/237/692/24_120.png,23,90,81500000,180000,81,79,82,88,57,60,Left,3,4,High/High
